feature,weight,gain,cover
unique_zips,149.0,12.270689010620117,700.3008422851562
total_payment_value,672.0,1.2231842279434204,490.01654052734375
unique_customers,69.0,1.2028919458389282,986.0123291015625
month_cos,5.0,1.0891854763031006,203.0530548095703
total_unique_visitors,11.0,0.4114053547382355,150.22564697265625
total_unique_visitors_lag_7d,7.0,0.2733761966228485,280.2026062011719
order_count,86.0,0.20529742538928986,1005.8595581054688
total_page_views_lag_7d,11.0,0.1895575374364853,137.10215759277344
rev_cogs_ratio_lag1,142.0,0.16283752024173737,204.8882598876953
total_unique_visitors_lag_1d,13.0,0.1508057713508606,139.26031494140625
total_sessions_lag_1d,16.0,0.13933615386486053,115.30162811279297
total_page_views,4.0,0.13782458007335663,74.36553192138672
total_discount,229.0,0.13553425669670105,235.77291870117188
order_count_rmean_30d,2.0,0.13083890080451965,53.723182678222656
cogs_lag_365d,23.0,0.10065290331840515,445.540283203125
promo_categories_covered,2.0,0.09469152987003326,95.57653045654297
total_quantity,122.0,0.08901026844978333,872.5155029296875
month,3.0,0.08274508267641068,61.91242980957031
cogs_rstd_30d,9.0,0.08154939860105515,226.82403564453125
active_promos_count,14.0,0.07733321934938431,286.73577880859375
cogs_exp_mean,15.0,0.0751480832695961,401.8717346191406
avg_sell_through_rate,16.0,0.07457567006349564,289.4183349609375
new_customers_count_lag_1d,15.0,0.06976998597383499,283.2983703613281
revenue_lag_365d,7.0,0.06004517152905464,83.17369079589844
revenue_momentum_7_30,3.0,0.05860675498843193,182.4418182373047
trend_sq,4.0,0.05729448050260544,508.6417236328125
year_trend,26.0,0.05620798096060753,314.84844970703125
revenue_rstd_30d,3.0,0.05219109356403351,521.1902465820312
cogs_lag_1d,8.0,0.05187888815999031,719.5718994140625
total_discount_lag_1d,21.0,0.049655698239803314,195.65113830566406
week_of_year,11.0,0.04938405752182007,310.2237548828125
avg_days_of_supply,17.0,0.04699961468577385,116.7067642211914
total_stock_on_hand,13.0,0.04306541010737419,232.37857055664062
new_customers_count,19.0,0.04255927726626396,420.143310546875
total_stock_on_hand_lag_1d,5.0,0.04126174747943878,98.20279693603516
promo_type_percentage,7.0,0.039651595056056976,182.84498596191406
total_page_views_lag_1d,11.0,0.03557634353637695,509.1029357910156
total_discount_lag_7d,20.0,0.03392200171947479,213.45144653320312
revenue_exp_mean,30.0,0.03379364684224129,266.6290588378906
new_customers_count_lag_7d,16.0,0.031496915966272354,227.39674377441406
month_sin,6.0,0.03062758408486843,133.7890167236328
revenue_rmean_7d,4.0,0.030287038534879684,292.9059143066406
cogs_rstd_14d,1.0,0.029634661972522736,19.78228759765625
cogs_lag_30d,5.0,0.027879703789949417,497.1162109375
day_of_year,26.0,0.02780962362885475,973.2655029296875
cogs_dev_from_30d,3.0,0.027168812230229378,28.456817626953125
total_payment_value_lag_1d,4.0,0.02700280025601387,110.74949645996094
total_units_received,2.0,0.026652848348021507,134.52688598632812
cogs_rmean_7d,6.0,0.025869974866509438,79.3370132446289
total_sessions,9.0,0.02523566037416458,95.76121520996094
total_shipping_fee_lag_1d,14.0,0.024905966594815254,356.25848388671875
revenue_rstd_7d,3.0,0.024604862555861473,75.75635528564453
cogs_lag_2d,4.0,0.024567723274230957,295.4369201660156
items_overstock,7.0,0.023374760523438454,68.63945007324219
day_of_month,8.0,0.022956449538469315,222.4603271484375
avg_stockout_days,2.0,0.022895419970154762,63.88939666748047
total_shipping_fee,35.0,0.02277272567152977,712.50732421875
revenue_lag_7d,4.0,0.02203993871808052,423.9736633300781
order_count_lag_7d,3.0,0.021787961944937706,41.76014709472656
avg_rating,3.0,0.021222205832600594,48.14337158203125
revenue_diff_1d_7d,4.0,0.02042798511683941,102.46916198730469
cogs_momentum_7_30,5.0,0.020257188007235527,606.2203979492188
cogs_diff_1d_7d,2.0,0.019833512604236603,46.28986358642578
cogs_lag_14d,3.0,0.01974368654191494,37.62669372558594
total_payment_value_rmean_7d,7.0,0.019633347168564796,474.0400390625
revenue_cv_7d,1.0,0.0189589262008667,59.72705841064453
revenue_rstd_14d,2.0,0.01876777783036232,27.001279830932617
avg_min_order_value,9.0,0.018533339723944664,532.3862915039062
revenue_lag_2d,3.0,0.018276244401931763,40.23912811279297
avg_session_duration_sec,2.0,0.018099183216691017,65.5411605834961
cogs_rmean_30d,2.0,0.01774110645055771,66.171142578125
total_quantity_lag_1d,5.0,0.017695238813757896,124.7810287475586
revenue_rmean_14d,4.0,0.016770385205745697,162.7008514404297
items_stockout,3.0,0.016513070091605186,95.6351089477539
revenue_momentum_7_14,3.0,0.01595519296824932,42.23451614379883
promo_type_fixed,13.0,0.015389630571007729,956.6705322265625
dow_x_month,2.0,0.015305522829294205,75.974609375
total_stock_on_hand_lag_7d,3.0,0.014369488693773746,96.75933837890625
refund_amount_lag_1d,5.0,0.01429716031998396,115.16105651855469
total_sessions_lag_7d,2.0,0.013929150998592377,54.50493240356445
revenue_diff_1d_30d,3.0,0.013711084611713886,64.2219009399414
total_payment_value_rmean_30d,1.0,0.013641588389873505,22.87429428100586
total_reviews,4.0,0.0136311249807477,80.07901000976562
cogs_diff_1d_30d,6.0,0.013550300151109695,320.9596252441406
revenue_lag_3d,4.0,0.013379693031311035,235.9483642578125
revenue_dev_from_30d,5.0,0.01322723738849163,127.8826675415039
return_quantity,3.0,0.013180366717278957,117.1976318359375
avg_installments,12.0,0.012882862240076065,735.9887084960938
cogs_rstd_7d,3.0,0.012798304669559002,101.13323974609375
total_quantity_rmean_7d,3.0,0.012726486660540104,262.419677734375
cogs_rmean_14d,4.0,0.012662146240472794,473.924072265625
revenue_dev_from_7d,2.0,0.01246519573032856,161.84288024902344
total_payment_value_lag_7d,3.0,0.011956576257944107,77.5550308227539
revenue_lag_1d,3.0,0.01185962650924921,173.58973693847656
total_shipping_fee_lag_7d,7.0,0.011728574521839619,111.65478515625
avg_bounce_rate,1.0,0.01166689395904541,50.448150634765625
order_count_lag_1d,8.0,0.01161583699285984,212.8132781982422
order_count_rmean_7d,5.0,0.011558094061911106,371.79656982421875
revenue_rmean_30d,3.0,0.011540749110281467,998.8605346679688
total_reviews_lag_1d,3.0,0.011454318650066853,52.777587890625
total_quantity_rmean_30d,2.0,0.011339740827679634,121.00697326660156
refund_amount_lag_7d,5.0,0.011336436495184898,87.10818481445312
avg_delivery_days,12.0,0.011240214109420776,571.7560424804688
total_units_received_lag_7d,2.0,0.011107131838798523,22.946592330932617
refund_amount,5.0,0.01089430134743452,370.01025390625
total_reviews_lag_7d,2.0,0.010652072727680206,776.5984497070312
cogs_lag_7d,1.0,0.01043433416634798,38.35203552246094
revenue_lag_30d,7.0,0.0099868169054389,586.6202392578125
return_quantity_lag_1d,1.0,0.00956692174077034,159.8496551513672
cogs_momentum_7_14,1.0,0.009347222745418549,1453.5233154296875
traffic_sessions_referral,1.0,0.009255458600819111,135.37588500976562
total_quantity_lag_7d,1.0,0.009254164062440395,575.456298828125
traffic_sessions_organic_search,0.0,0.0,0.0
cogs_lag_3d,0.0,0.0,0.0
revenue_lag_14d,0.0,0.0,0.0
dow_sin,0.0,0.0,0.0
avg_fill_rate,0.0,0.0,0.0
unique_sizes,0.0,0.0,0.0
items_reorder,0.0,0.0,0.0
day_of_week,0.0,0.0,0.0
is_weekend,0.0,0.0,0.0
traffic_sessions_direct,0.0,0.0,0.0
traffic_sessions_email_campaign,0.0,0.0,0.0
has_stackable,0.0,0.0,0.0
traffic_sessions_social_media,0.0,0.0,0.0
traffic_sessions_paid_search,0.0,0.0,0.0
return_quantity_lag_7d,0.0,0.0,0.0
total_units_received_lag_1d,0.0,0.0,0.0
cogs_dev_from_7d,0.0,0.0,0.0
