feature,weight,gain,cover
total_payment_value,627.0,4.33268404006958,692.7124633789062
unique_zips,98.0,1.578591227531433,868.6328125
total_payment_value_lag_1d,7.0,0.6168068051338196,618.7196655273438
unique_customers,71.0,0.31969666481018066,1180.9769287109375
rev_cogs_ratio_lag1,15.0,0.30651578307151794,179.0044708251953
revenue_rmean_30d,1.0,0.1822681427001953,58.12571716308594
total_discount,249.0,0.14669635891914368,190.91763305664062
total_discount_lag_1d,34.0,0.0862395316362381,163.04681396484375
avg_sell_through_rate,1.0,0.08447292447090149,56.41434097290039
new_customers_count_lag_1d,7.0,0.076984703540802,137.07090759277344
revenue_rmean_7d,3.0,0.07550181448459625,131.51463317871094
day_of_year,17.0,0.07057783007621765,833.7857055664062
total_quantity,149.0,0.06735812872648239,1305.5303955078125
total_stock_on_hand,4.0,0.0609436109662056,80.09579467773438
total_page_views_lag_7d,4.0,0.05587834119796753,75.78512573242188
cogs_exp_mean,2.0,0.050918448716402054,80.3669204711914
day_of_month,1.0,0.050654709339141846,105.62085723876953
total_shipping_fee_lag_1d,4.0,0.05039697140455246,146.05166625976562
new_customers_count,11.0,0.04599655047059059,202.9822235107422
total_unique_visitors_lag_1d,2.0,0.04042833298444748,763.973876953125
order_count,93.0,0.039288707077503204,1156.96728515625
revenue_momentum_7_30,5.0,0.03592047095298767,141.41064453125
cogs_lag_7d,1.0,0.03541658818721771,27.380701065063477
cogs_momentum_7_30,1.0,0.03487306088209152,27.978349685668945
cogs_lag_2d,1.0,0.034709952771663666,20.544095993041992
total_units_received,1.0,0.02921353280544281,18.607080459594727
week_of_year,2.0,0.02901522070169449,178.09237670898438
cogs_lag_365d,11.0,0.028113283216953278,351.28271484375
year_trend,6.0,0.02535148896276951,340.8866271972656
total_discount_lag_7d,2.0,0.025215016677975655,21.139686584472656
revenue_lag_365d,3.0,0.02501511014997959,523.53955078125
revenue_rstd_14d,1.0,0.02493301033973694,25.66722297668457
total_shipping_fee,23.0,0.024877844378352165,745.4694213867188
total_sessions,3.0,0.0231927540153265,73.07494354248047
promo_type_fixed,7.0,0.022222772240638733,530.0039672851562
month,1.0,0.020929455757141113,33.154747009277344
avg_days_of_supply,3.0,0.019943967461586,87.7953109741211
total_unique_visitors_lag_7d,3.0,0.017698043957352638,82.89501190185547
cogs_momentum_7_14,2.0,0.01739157922565937,56.31049346923828
total_reviews_lag_1d,2.0,0.017222387716174126,38.77751922607422
total_stock_on_hand_lag_7d,3.0,0.016971971839666367,193.783447265625
cogs_lag_14d,2.0,0.0166129432618618,29.199729919433594
promo_type_percentage,11.0,0.015897013247013092,430.1577453613281
revenue_lag_30d,2.0,0.01582229882478714,746.1006469726562
revenue_lag_1d,10.0,0.01543156336992979,908.2901611328125
revenue_cv_7d,1.0,0.015295185148715973,20.316930770874023
items_overstock,3.0,0.014548112638294697,63.04372024536133
total_page_views,1.0,0.014428364112973213,113.3763656616211
active_promos_count,2.0,0.014352962374687195,239.72122192382812
total_stock_on_hand_lag_1d,2.0,0.013998953625559807,823.4259033203125
cogs_rstd_7d,1.0,0.013589254580438137,31.83716583251953
total_unique_visitors,1.0,0.013290565460920334,1404.3956298828125
total_page_views_lag_1d,2.0,0.013265980407595634,143.67552185058594
new_customers_count_lag_7d,6.0,0.012875835411250591,531.8186645507812
avg_installments,2.0,0.012706538662314415,1494.973388671875
cogs_lag_1d,2.0,0.012287715449929237,1487.889404296875
total_quantity_rmean_7d,2.0,0.012269847095012665,87.57015228271484
month_cos,1.0,0.012238441966474056,957.8005981445312
revenue_exp_mean,2.0,0.011897789314389229,236.13050842285156
total_quantity_lag_7d,1.0,0.0111779123544693,23.550426483154297
total_sessions_lag_1d,2.0,0.010610925033688545,805.5120849609375
order_count_lag_1d,2.0,0.010154929012060165,1191.7137451171875
total_reviews,1.0,0.0100526362657547,29.182903289794922
promo_categories_covered,1.0,0.009713903069496155,152.8778076171875
total_payment_value_rmean_7d,1.0,0.009643569588661194,89.28902435302734
avg_rating,1.0,0.009468287229537964,29.303295135498047
cogs_lag_3d,0.0,0.0,0.0
dow_x_month,0.0,0.0,0.0
dow_sin,0.0,0.0,0.0
trend_sq,0.0,0.0,0.0
revenue_lag_14d,0.0,0.0,0.0
revenue_lag_3d,0.0,0.0,0.0
revenue_lag_7d,0.0,0.0,0.0
unique_sizes,0.0,0.0,0.0
items_reorder,0.0,0.0,0.0
avg_fill_rate,0.0,0.0,0.0
items_stockout,0.0,0.0,0.0
is_weekend,0.0,0.0,0.0
revenue_lag_2d,0.0,0.0,0.0
month_sin,0.0,0.0,0.0
avg_stockout_days,0.0,0.0,0.0
has_stackable,0.0,0.0,0.0
traffic_sessions_social_media,0.0,0.0,0.0
refund_amount,0.0,0.0,0.0
avg_delivery_days,0.0,0.0,0.0
avg_bounce_rate,0.0,0.0,0.0
return_quantity,0.0,0.0,0.0
avg_session_duration_sec,0.0,0.0,0.0
traffic_sessions_direct,0.0,0.0,0.0
traffic_sessions_organic_search,0.0,0.0,0.0
traffic_sessions_email_campaign,0.0,0.0,0.0
traffic_sessions_referral,0.0,0.0,0.0
traffic_sessions_paid_search,0.0,0.0,0.0
avg_min_order_value,0.0,0.0,0.0
day_of_week,0.0,0.0,0.0
total_sessions_lag_7d,0.0,0.0,0.0
total_shipping_fee_lag_7d,0.0,0.0,0.0
revenue_rstd_7d,0.0,0.0,0.0
total_units_received_lag_7d,0.0,0.0,0.0
total_units_received_lag_1d,0.0,0.0,0.0
total_reviews_lag_7d,0.0,0.0,0.0
return_quantity_lag_1d,0.0,0.0,0.0
return_quantity_lag_7d,0.0,0.0,0.0
refund_amount_lag_1d,0.0,0.0,0.0
refund_amount_lag_7d,0.0,0.0,0.0
total_payment_value_lag_7d,0.0,0.0,0.0
total_quantity_lag_1d,0.0,0.0,0.0
cogs_lag_30d,0.0,0.0,0.0
order_count_lag_7d,0.0,0.0,0.0
cogs_rmean_14d,0.0,0.0,0.0
cogs_rmean_7d,0.0,0.0,0.0
revenue_rstd_30d,0.0,0.0,0.0
revenue_rmean_14d,0.0,0.0,0.0
total_quantity_rmean_30d,0.0,0.0,0.0
order_count_rmean_30d,0.0,0.0,0.0
order_count_rmean_7d,0.0,0.0,0.0
cogs_rstd_30d,0.0,0.0,0.0
cogs_rstd_14d,0.0,0.0,0.0
cogs_rmean_30d,0.0,0.0,0.0
total_payment_value_rmean_30d,0.0,0.0,0.0
revenue_momentum_7_14,0.0,0.0,0.0
revenue_diff_1d_30d,0.0,0.0,0.0
revenue_diff_1d_7d,0.0,0.0,0.0
revenue_dev_from_30d,0.0,0.0,0.0
revenue_dev_from_7d,0.0,0.0,0.0
cogs_dev_from_30d,0.0,0.0,0.0
cogs_dev_from_7d,0.0,0.0,0.0
cogs_diff_1d_30d,0.0,0.0,0.0
cogs_diff_1d_7d,0.0,0.0,0.0
