feature,gain,mean_abs_shap,gain_rank,shap_rank,avg_rank
unique_zips,5.868522644042969,0.15126383,1,2,1.5
total_payment_value,1.6991033554077148,0.22124244,4,1,2.5
unique_customers,3.093466281890869,0.055063143,2,3,2.5
order_count,1.81606125831604,0.02721462,3,6,4.5
total_quantity,0.4995262324810028,0.018128663,7,7,7.0
rev_cogs_ratio_lag1,0.1693713366985321,0.02740526,14,5,9.5
total_sessions_lag_1d,0.25226113200187683,0.0051468327,12,10,11.0
year_trend,0.15010200440883636,0.006756983,15,8,11.5
cogs_lag_365d,0.25956201553344727,0.0030826835,11,15,13.0
total_discount,0.11063246428966522,0.027921937,22,4,13.0
month_cos,0.30874869227409363,0.0029250174,10,17,13.5
total_sessions,0.20605558156967163,0.0034184377,13,14,13.5
active_promos_count,0.12714433670043945,0.005032212,20,11,15.5
trend_sq,0.1347610503435135,0.003008092,18,16,17.0
cogs_lag_1d,0.39809104800224304,0.0017687336,9,26,17.5
day_of_year,0.09172288328409195,0.004864026,25,12,18.5
total_shipping_fee,0.07434616982936859,0.006239142,29,9,19.0
total_discount_lag_1d,0.08992655575275421,0.00383669,26,13,19.5
total_sessions_lag_7d,0.13675758242607117,0.0023661132,17,22,19.5
total_unique_visitors,0.14627769589424133,0.0018713672,16,25,20.5
revenue_lag_1d,0.5426244139671326,0.0010530209,6,37,21.5
total_quantity_lag_1d,0.6974259614944458,0.0009129874,5,39,22.0
week_of_year,0.09443188458681107,0.0021492257,24,23,23.5
total_unique_visitors_lag_1d,0.1010759174823761,0.0021220488,23,24,23.5
avg_sell_through_rate,0.07731985300779343,0.0025292428,28,20,24.0
total_unique_visitors_lag_7d,0.11368753761053085,0.001539467,21,29,25.0
cogs_exp_mean,0.05980286747217178,0.0028160952,33,18,25.5
order_count_lag_1d,0.47951099276542664,0.0006515297,8,44,26.0
month,0.13385187089443207,0.001228863,19,33,26.0
revenue_exp_mean,0.05247338488698006,0.0027001377,35,19,27.0
avg_days_of_supply,0.0438440777361393,0.0024574387,38,21,29.5
total_page_views_lag_7d,0.07225022464990616,0.0014064105,30,31,30.5
total_payment_value_lag_1d,0.08576736599206924,0.00094535213,27,38,32.5
new_customers_count_lag_1d,0.036107879132032394,0.0017243917,41,27,34.0
total_stock_on_hand_lag_7d,0.046652745455503464,0.0012148441,36,34,35.0
total_stock_on_hand,0.0339825339615345,0.0017215494,44,28,36.0
revenue_lag_365d,0.04079533740878105,0.0011404343,39,36,37.5
total_page_views,0.054208457469940186,0.00085741765,34,42,38.0
new_customers_count_lag_7d,0.033546678721904755,0.0013125691,45,32,38.5
promo_type_percentage,0.06620828807353973,0.00055782415,31,50,40.5
