date,Revenue,COGS,total_quantity,avg_unit_price,total_discount,unique_items,order_count,unique_customers,unique_zips,orders_payment_apple_pay,orders_payment_bank_transfer,orders_payment_cod,orders_payment_credit_card,orders_payment_paypal,orders_device_desktop,orders_device_mobile,orders_device_tablet,orders_source_direct,orders_source_email_campaign,orders_source_organic_search,orders_source_paid_search,orders_source_referral,orders_source_social_media,orders_status_cancelled,orders_status_created,orders_status_delivered,orders_status_paid,orders_status_returned,orders_status_shipped,orders_region_Central,orders_region_East,orders_region_West,total_payment_value,avg_installments,total_shipping_fee,avg_delivery_days,return_quantity,refund_amount,returns_reason_changed_mind,returns_reason_defective,returns_reason_late_delivery,returns_reason_not_as_described,returns_reason_wrong_size,avg_rating,total_reviews,total_sessions,total_unique_visitors,total_page_views,avg_bounce_rate,avg_session_duration_sec,traffic_sessions_direct,traffic_sessions_email_campaign,traffic_sessions_organic_search,traffic_sessions_paid_search,traffic_sessions_referral,traffic_sessions_social_media,max_discount_value,has_stackable,avg_min_order_value,active_promos_count,promo_categories_covered,promo_type_percentage,promo_type_fixed,promo_channel_email,promo_channel_online,promo_channel_all_channels,promo_channel_in_store,promo_channel_social_media,total_stock_on_hand,total_units_received,avg_stockout_days,avg_days_of_supply,avg_fill_rate,avg_sell_through_rate,items_stockout,items_overstock,items_reorder,new_customers_count,new_cust_acq_direct,new_cust_acq_email_campaign,new_cust_acq_organic_search,new_cust_acq_paid_search,new_cust_acq_referral,new_cust_acq_social_media,new_cust_age_18-24,new_cust_age_25-34,new_cust_age_35-44,new_cust_age_45-54,new_cust_age_55+,new_cust_gen_Female,new_cust_gen_Male,new_cust_gen_Non-binary,avg_product_price,avg_product_cogs,unique_colors,unique_sizes,qty_category_Casual,qty_category_GenZ,qty_category_Outdoor,qty_category_Streetwear,qty_segment_Activewear,qty_segment_All-weather,qty_segment_Balanced,qty_segment_Everyday,qty_segment_Performance,qty_segment_Premium,qty_segment_Standard,qty_segment_Trendy
2012-07-04,5123547.94,3982991.19,777,6394.123563,0,93,162,161,156,19,5,22,85,31,67,69,26,9,14,52,30,16,41,9,0,134,6,11,2,43,79,40,5123547.94,3.790123457,574.11,4.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,1,0,2,0,0,1,2,0,6407.267604,4884.986815,10,4,19,30,172,556,163,19,148,321,68,9,19,30
2012-07-05,2751773.45,2150580.23,428,6744.283107,0,65,97,97,97,7,9,16,47,18,43,38,16,6,11,26,18,9,27,9,0,81,1,5,1,33,42,22,2751773.45,3.917525773,324.96,4.724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,0,2,0,2,1,1,1,3,2,0,6794.188475,5284.636956,10,4,4,39,96,289,83,4,70,182,36,13,1,39
2012-07-06,3054029.42,2517632.84,441,6793.819596,0,73,93,93,89,8,1,11,60,13,42,42,9,10,12,28,23,7,13,11,1,69,2,7,3,23,56,14,3054029.42,4.139784946,235.94,4.417721519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6785.285004,5446.615257,10,4,17,23,77,324,77,17,84,157,75,0,8,23
2012-07-07,2667930.94,2108246.62,364,7475.478533,0,50,73,73,72,10,1,14,40,8,26,34,13,2,13,20,15,12,11,8,3,55,0,6,1,22,38,13,2667930.94,2.904109589,247.92,4.403225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,1,0,0,0,1,1,2,0,4,0,0,7464.997191,5780.123349,10,4,7,6,66,285,66,7,96,150,31,0,8,6
2012-07-08,2360851.9,1808622.79,394,5766.682021,0,62,88,87,86,12,5,8,50,13,30,45,13,7,11,22,18,2,28,5,3,67,2,8,3,26,43,19,2360851.9,3.465909091,447.98,4.371794872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,1,0,2,1,1,0,2,2,0,5757.646716,4462.581049,10,4,0,23,80,291,80,0,57,155,65,0,14,23
2012-07-09,3548386.46,2787841.68,730,4743.506752,0,92,137,137,136,23,1,20,73,20,52,61,24,13,10,33,29,12,40,20,0,106,2,8,1,41,69,27,3548386.46,3.226277372,559.14,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,2,0,1,0,2,1,0,4745.864479,3761.864709,10,4,6,37,257,430,234,6,54,272,85,23,19,37
2012-07-10,5234938.62,4044438.84,928,5647.372266,0,131,183,182,178,13,13,28,104,25,72,82,29,18,20,63,44,12,26,18,4,137,7,9,8,58,87,38,5234938.62,3.491803279,481.83,4.175324675,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,1,0,0,0,2,0,5644.164364,4377.137684,10,4,19,31,250,628,244,19,128,368,103,6,29,31
2012-07-11,5582884.78,4338313.07,1097,5184.381317,0,130,221,221,213,28,12,37,115,29,77,112,32,12,22,70,45,21,51,16,2,180,6,13,4,62,105,54,5582884.78,3.162895928,849.91,4.568527919,4,6493.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,1,1,0,5172.78246,4002.803995,10,4,26,44,407,620,382,26,84,398,112,25,26,44
2012-07-12,5734632.02,4458811.27,1241,4548.9964,0,157,246,243,234,26,14,36,137,33,102,101,43,21,38,68,49,25,45,20,4,200,4,7,11,94,101,51,5734632.02,3.43902439,987.95,4.348623853,1,4834,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,1,1,0,4553.189417,3549.807626,10,4,27,87,408,719,387,27,99,408,157,21,55,87
2012-07-13,5309511.71,4143402.78,995,5427.013857,0,118,201,200,197,17,6,33,109,36,78,99,24,14,27,49,51,18,42,18,2,163,8,6,4,64,81,56,5309511.71,3.288557214,726.02,4.479768786,0,0,0,0,0,0,0,4.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5424.301354,4262.358575,10,4,10,65,316,604,295,10,113,324,129,21,38,65
