date,Revenue,COGS,active_promos_count,max_discount_value,promo_type_percentage,promo_type_fixed,promo_channel_email,promo_channel_online,promo_channel_all_channels,promo_channel_in_store,promo_channel_social_media,day_of_week,day_of_month,month,year_trend,is_weekend,is_tet_window,is_mega_sale,is_payday,COGS_lag_1d,gross_margin_lag_1d,margin_rate_lag_1d,total_quantity_lag_1d,avg_unit_price_lag_1d,total_discount_lag_1d,unique_items_lag_1d,order_count_lag_1d,unique_customers_lag_1d,unique_zips_lag_1d,orders_payment_apple_pay_lag_1d,orders_payment_bank_transfer_lag_1d,orders_payment_cod_lag_1d,orders_payment_credit_card_lag_1d,orders_payment_paypal_lag_1d,orders_device_desktop_lag_1d,orders_device_mobile_lag_1d,orders_device_tablet_lag_1d,orders_source_direct_lag_1d,orders_source_email_campaign_lag_1d,orders_source_organic_search_lag_1d,orders_source_paid_search_lag_1d,orders_source_referral_lag_1d,orders_source_social_media_lag_1d,orders_status_cancelled_lag_1d,orders_status_created_lag_1d,orders_status_delivered_lag_1d,orders_status_paid_lag_1d,orders_status_returned_lag_1d,orders_status_shipped_lag_1d,orders_region_Central_lag_1d,orders_region_East_lag_1d,orders_region_West_lag_1d,total_payment_value_lag_1d,avg_installments_lag_1d,total_shipping_fee_lag_1d,avg_delivery_days_lag_1d,return_quantity_lag_1d,refund_amount_lag_1d,avg_rating_lag_1d,total_reviews_lag_1d,total_sessions_lag_1d,total_unique_visitors_lag_1d,total_page_views_lag_1d,avg_session_duration_sec_lag_1d,qty_category_Casual_lag_1d,qty_category_GenZ_lag_1d,qty_category_Outdoor_lag_1d,qty_category_Streetwear_lag_1d,qty_segment_Activewear_lag_1d,qty_segment_All-weather_lag_1d,qty_segment_Balanced_lag_1d,qty_segment_Everyday_lag_1d,qty_segment_Performance_lag_1d,qty_segment_Premium_lag_1d,qty_segment_Standard_lag_1d,qty_segment_Trendy_lag_1d,order_count_lag_7d,order_count_lag_30d,total_quantity_lag_7d,total_quantity_lag_30d,total_sessions_lag_7d,total_sessions_lag_30d,return_quantity_lag_7d,return_quantity_lag_30d,refund_amount_lag_7d,refund_amount_lag_30d,COGS_lag_7d,COGS_lag_30d,gross_margin_lag_7d,gross_margin_lag_30d,revenue_lag_1d,revenue_lag_7d,revenue_lag_8d,revenue_lag_14d,revenue_lag_30d,revenue_lag_31d,revenue_lag_90d,revenue_lag_365d,revenue_rmean_7d,revenue_rstd_7d,revenue_rmean_14d,revenue_rstd_14d,revenue_rmean_30d,revenue_rstd_30d,order_count_rmean_7d,sessions_rmean_7d,revenue_wow,revenue_mom,discount_rate_lag_1d,avg_order_value_lag_1d
2012-07-04,5123547.94,3982991.19,0,0.0,0,0,0,0,0,0,0,2,4,7,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-05,2751773.45,2150580.23,0,0.0,0,0,0,0,0,0,0,3,5,7,0,0,0,0,1,3982991.19,1140556.7500000005,0.22261073056339947,777.0,6394.123563218391,0.0,93.0,162.0,161.0,156.0,19.0,5.0,22.0,85.0,31.0,67.0,69.0,26.0,9.0,14.0,52.0,30.0,16.0,41.0,9.0,0.0,134.0,6.0,11.0,2.0,43.0,79.0,40.0,5123547.94,3.7901234567901234,574.11,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,30.0,172.0,556.0,163.0,19.0,148.0,321.0,68.0,9.0,19.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5123547.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5123547.94,0.0,5123547.94,0.0,5123547.94,0.0,162.0,0.0,0.0,0.0,0.0,31626.83913580247
2012-07-06,3054029.42,2517632.84,0,0.0,0,0,0,0,0,0,0,4,6,7,0,0,0,0,0,2150580.23,601193.2200000002,0.21847482393581497,428.0,6744.283106796117,0.0,65.0,97.0,97.0,97.0,7.0,9.0,16.0,47.0,18.0,43.0,38.0,16.0,6.0,11.0,26.0,18.0,9.0,27.0,9.0,0.0,81.0,1.0,5.0,1.0,33.0,42.0,22.0,2751773.45,3.917525773195876,324.96,4.724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,39.0,96.0,289.0,83.0,4.0,70.0,182.0,36.0,13.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2751773.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3937660.6950000003,1677097.8253242655,3937660.6950000003,1677097.8253242655,3937660.6950000003,1677097.8253242655,129.5,0.0,0.0,0.0,0.0,28368.798453608248
2012-07-07,2667930.94,2108246.62,0,0.0,0,0,0,0,0,0,0,5,7,7,0,1,0,0,0,2517632.84,536396.5800000001,0.17563569508770485,441.0,6793.819595959596,0.0,73.0,93.0,93.0,89.0,8.0,1.0,11.0,60.0,13.0,42.0,42.0,9.0,10.0,12.0,28.0,23.0,7.0,13.0,11.0,1.0,69.0,2.0,7.0,3.0,23.0,56.0,14.0,3054029.42,4.139784946236559,235.94,4.417721518987341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,77.0,324.0,77.0,17.0,84.0,157.0,75.0,0.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3054029.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3643116.936666667,1290967.3251376527,3643116.936666667,1290967.3251376527,3643116.936666667,1290967.3251376527,117.33333333333333,0.0,0.0,0.0,0.0,32839.02602150538
2012-07-08,2360851.9,1808622.79,0,0.0,0,0,0,0,0,0,0,6,8,7,0,1,0,0,0,2108246.62,559684.3199999998,0.2097821617526576,364.0,7475.478533333334,0.0,50.0,73.0,73.0,72.0,10.0,1.0,14.0,40.0,8.0,26.0,34.0,13.0,2.0,13.0,20.0,15.0,12.0,11.0,8.0,3.0,55.0,0.0,6.0,1.0,22.0,38.0,13.0,2667930.94,2.904109589041096,247.92,4.403225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,66.0,285.0,66.0,7.0,96.0,150.0,31.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2667930.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3399320.4375,1161383.3798846963,3399320.4375,1161383.3798846963,3399320.4375,1161383.3798846963,106.25,0.0,0.0,0.0,0.0,36546.99917808219
2012-07-09,3548386.46,2787841.68,0,0.0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,1808622.79,552229.1099999999,0.23391094968727175,394.0,5766.682021276595,0.0,62.0,88.0,87.0,86.0,12.0,5.0,8.0,50.0,13.0,30.0,45.0,13.0,7.0,11.0,22.0,18.0,2.0,28.0,5.0,3.0,67.0,2.0,8.0,3.0,26.0,43.0,19.0,2360851.9,3.465909090909091,447.98,4.371794871794871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,80.0,291.0,80.0,0.0,57.0,155.0,65.0,0.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2360851.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3191626.73,1107832.0707488921,3191626.73,1107832.0707488921,3191626.73,1107832.0707488921,102.6,0.0,0.0,0.0,0.0,26827.8625
2012-07-10,5234938.62,4044438.84,0,0.0,0,0,0,0,0,0,0,1,10,7,0,0,0,0,0,2787841.68,760544.7799999998,0.21433538555436824,730.0,4743.506751592357,0.0,92.0,137.0,137.0,136.0,23.0,1.0,20.0,73.0,20.0,52.0,61.0,24.0,13.0,10.0,33.0,29.0,12.0,40.0,20.0,0.0,106.0,2.0,8.0,1.0,41.0,69.0,27.0,3548386.46,3.2262773722627736,559.14,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,257.0,430.0,234.0,6.0,54.0,272.0,85.0,23.0,19.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3548386.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3251086.685,1001522.0592056047,3251086.685,1001522.0592056047,3251086.685,1001522.0592056047,108.33333333333333,0.0,0.0,0.0,0.0,25900.631094890512
2012-07-11,5582884.78,4338313.07,0,0.0,0,0,0,0,0,0,0,2,11,7,0,0,0,0,0,4044438.84,1190499.7800000003,0.22741427673129055,928.0,5647.372266009853,0.0,131.0,183.0,182.0,178.0,13.0,13.0,28.0,104.0,25.0,72.0,82.0,29.0,18.0,20.0,63.0,44.0,12.0,26.0,18.0,4.0,137.0,7.0,9.0,8.0,58.0,87.0,38.0,5234938.62,3.4918032786885247,481.83,4.175324675324675,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,19.0,31.0,250.0,628.0,244.0,19.0,128.0,368.0,103.0,6.0,29.0,31.0,162.0,0.0,777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3982991.19,0.0,1140556.7500000005,0.0,5234938.62,5123547.94,0.0,0.0,0.0,0.0,0.0,0.0,3534494.104285714,1182417.179498357,3534494.104285714,1182417.179498357,3534494.104285714,1182417.179498357,119.0,0.0,0.0,0.0,0.0,28606.221967213114
2012-07-12,5734632.02,4458811.27,0,0.0,0,0,0,0,0,0,0,3,12,7,0,0,0,0,0,4338313.07,1244571.71,0.2229262754012989,1097.0,5184.381316872427,0.0,130.0,221.0,221.0,213.0,28.0,12.0,37.0,115.0,29.0,77.0,112.0,32.0,12.0,22.0,70.0,45.0,21.0,51.0,16.0,2.0,180.0,6.0,13.0,4.0,62.0,105.0,54.0,5582884.78,3.16289592760181,849.91,4.568527918781726,4.0,6493.75,0.0,0.0,0.0,0.0,0.0,0.0,26.0,44.0,407.0,620.0,382.0,26.0,84.0,398.0,112.0,25.0,26.0,44.0,97.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150580.23,0.0,601193.2200000002,0.0,5582884.78,2751773.45,5123547.94,0.0,0.0,0.0,0.0,0.0,3600113.652857143,1292886.5063433973,3790542.93875,1312580.8075013447,3790542.93875,1312580.8075013447,127.42857142857143,0.0,0.08965210150839338,0.0,0.0,25261.922081447967
2012-07-13,5309511.71,4143402.78,0,0.0,0,0,0,0,0,0,0,4,13,7,0,0,0,0,0,4458811.27,1275820.75,0.2224764807141017,1241.0,4548.9964,0.0,157.0,246.0,243.0,234.0,26.0,14.0,36.0,137.0,33.0,102.0,101.0,43.0,21.0,38.0,68.0,49.0,25.0,45.0,20.0,4.0,200.0,4.0,7.0,11.0,94.0,101.0,51.0,5734632.02,3.4390243902439024,987.9499999999999,4.348623853211009,1.0,4834.0,5.0,1.0,0.0,0.0,0.0,0.0,27.0,87.0,408.0,719.0,387.0,27.0,99.0,408.0,157.0,21.0,55.0,87.0,93.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2517632.84,0.0,536396.5800000001,0.0,5734632.02,3054029.42,2751773.45,0.0,0.0,0.0,0.0,0.0,4026236.305714286,1448836.145707389,4006552.836666667,1388327.163594731,4006552.836666667,1388327.163594731,148.71428571428572,0.0,1.0839767968544065,0.0,0.0,23311.512276422764
2012-07-14,3820831.41,3075464.87,0,0.0,0,0,0,0,0,0,0,5,14,7,0,1,0,0,0,4143402.78,1166108.9300000002,0.2196263976221648,995.0,5427.013856502243,0.0,118.0,201.0,200.0,197.0,17.0,6.0,33.0,109.0,36.0,78.0,99.0,24.0,14.0,27.0,49.0,51.0,18.0,42.0,18.0,2.0,163.0,8.0,6.0,4.0,64.0,81.0,56.0,5309511.71,3.288557213930348,726.02,4.479768786127168,0.0,0.0,4.5,2.0,0.0,0.0,0.0,0.0,10.0,65.0,316.0,604.0,295.0,10.0,113.0,324.0,129.0,21.0,38.0,65.0,73.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2108246.62,0.0,559684.3199999998,0.0,5309511.71,2667930.94,3054029.42,0.0,0.0,0.0,0.0,0.0,4348448.061428571,1447389.8166826884,4136848.7240000004,1372246.7444320074,4136848.7240000004,1372246.7444320074,164.14285714285714,0.0,0.7385267067924971,0.0,0.0,26415.48114427861
2012-07-15,3948841.28,3154482.05,0,0.0,0,0,0,0,0,0,0,6,15,7,0,1,0,0,1,3075464.87,745366.54,0.19507967246322444,751.0,5145.452485549133,0.0,105.0,157.0,154.0,152.0,15.0,6.0,24.0,89.0,23.0,64.0,79.0,14.0,14.0,26.0,44.0,26.0,13.0,34.0,12.0,1.0,129.0,2.0,10.0,3.0,49.0,65.0,43.0,3820831.41,3.5031847133757963,823.32,4.584507042253521,6.0,52967.0,3.5,2.0,0.0,0.0,0.0,0.0,13.0,55.0,253.0,430.0,244.0,13.0,85.0,249.0,74.0,9.0,22.0,55.0,88.0,0.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808622.79,0.0,552229.1099999999,0.0,3820831.41,2360851.9,2667930.94,0.0,0.0,0.0,0.0,0.0,4513148.128571428,1280233.2104772013,4108119.877272727,1305309.8589303955,4108119.877272727,1305309.8589303955,176.14285714285714,0.0,0.4321328010087099,0.0,0.0,24336.505796178346
2012-07-16,3503801.49,2708219.59,0,0.0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,1,3154482.05,794359.23,0.20116261294756319,732.0,5153.680061728395,0.0,98.0,149.0,148.0,147.0,15.0,8.0,27.0,80.0,19.0,52.0,66.0,31.0,8.0,14.0,47.0,39.0,17.0,24.0,16.0,1.0,113.0,4.0,8.0,7.0,53.0,55.0,41.0,3948841.28,3.436241610738255,841.96,4.3984375,2.0,13534.619999999999,4.25,4.0,0.0,0.0,0.0,0.0,19.0,25.0,239.0,449.0,235.0,19.0,111.0,253.0,83.0,4.0,2.0,25.0,137.0,0.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2787841.68,0.0,760544.7799999998,0.0,3948841.28,3548386.46,2360851.9,0.0,0.0,0.0,0.0,0.0,4740003.754285715,927343.9921488011,4094846.660833333,1245413.1775315772,4094846.660833333,1245413.1775315772,184.85714285714286,0.0,0.6726340521402465,0.0,0.0,26502.290469798656
