feature,mean_abs_shap
total_payment_value,0.24254908
unique_zips,0.17094105
unique_customers,0.034556456
rev_cogs_ratio_lag1,0.033057805
total_discount,0.030623728
order_count,0.018539827
total_quantity,0.0109694945
year_trend,0.0066317287
active_promos_count,0.0064021
total_shipping_fee,0.005909986
total_sessions_lag_1d,0.0050581596
day_of_year,0.003031442
cogs_lag_365d,0.0028771702
month_cos,0.0028477209
total_sessions_lag_7d,0.0027739564
total_sessions,0.0026430832
cogs_exp_mean,0.00240856
total_discount_lag_1d,0.0023645032
avg_days_of_supply,0.002238079
avg_sell_through_rate,0.0021786836
revenue_exp_mean,0.0020271987
week_of_year,0.0017073362
total_page_views_lag_7d,0.0016353105
total_unique_visitors_lag_1d,0.0016138664
total_unique_visitors,0.0015778217
new_customers_count_lag_1d,0.0015315055
total_stock_on_hand,0.0015193404
trend_sq,0.0014230512
new_customers_count_lag_7d,0.001290486
new_customers_count,0.001286387
month,0.0010652785
cogs_lag_1d,0.0010213678
total_page_views,0.0009126138
promo_type_percentage,0.0009108738
total_unique_visitors_lag_7d,0.00088047807
total_quantity_rmean_30d,0.0007807661
revenue_lag_1d,0.00074739987
total_shipping_fee_lag_1d,0.00072990183
total_stock_on_hand_lag_7d,0.0006566011
month_sin,0.00064351613
revenue_lag_365d,0.0006423263
total_stock_on_hand_lag_1d,0.00059950846
cogs_rmean_30d,0.00057941995
order_count_rmean_30d,0.0005587524
total_quantity_lag_7d,0.00055770983
return_quantity,0.00055248383
total_shipping_fee_lag_7d,0.0005517511
promo_categories_covered,0.00048408084
avg_min_order_value,0.000484012
total_payment_value_lag_1d,0.00045548467
items_overstock,0.0004498633
total_units_received,0.00043896562
order_count_rmean_7d,0.00041469553
total_page_views_lag_1d,0.000409801
total_quantity_lag_1d,0.00039931893
revenue_rmean_30d,0.00038494274
day_of_month,0.00037293916
order_count_lag_1d,0.00036006438
total_quantity_rmean_7d,0.0003587521
revenue_rstd_30d,0.00035765689
revenue_momentum_7_30,0.00034839395
total_payment_value_rmean_30d,0.00034039168
total_payment_value_rmean_7d,0.00032337496
revenue_lag_2d,0.00030871193
revenue_cv_7d,0.00030495468
revenue_rmean_7d,0.00030304
revenue_rmean_14d,0.00029324272
total_payment_value_lag_7d,0.0002907463
order_count_lag_7d,0.0002860298
cogs_rstd_30d,0.00028367862
cogs_lag_7d,0.00027410957
revenue_dev_from_30d,0.00026053318
total_reviews_lag_1d,0.00026011368
cogs_rstd_14d,0.00023083722
cogs_diff_1d_30d,0.00022293933
total_reviews_lag_7d,0.00022285062
cogs_rstd_7d,0.00022194386
total_reviews,0.00021659269
revenue_lag_3d,0.00020921181
cogs_lag_2d,0.00020872078
cogs_dev_from_30d,0.00020302857
avg_stockout_days,0.00018354265
revenue_lag_7d,0.00018345038
cogs_lag_30d,0.00017981564
revenue_lag_14d,0.00016459498
return_quantity_lag_7d,0.00016434313
cogs_momentum_7_30,0.00015891883
traffic_sessions_organic_search,0.0001585341
cogs_dev_from_7d,0.00015842602
refund_amount_lag_7d,0.0001541455
total_units_received_lag_7d,0.00014183167
revenue_rstd_7d,0.00013415462
refund_amount,0.000121791076
revenue_rstd_14d,0.00011750052
cogs_diff_1d_7d,0.000110379166
revenue_dev_from_7d,0.00010730392
dow_x_month,9.706896e-05
total_units_received_lag_1d,8.705784e-05
day_of_week,5.3767915e-05
traffic_sessions_paid_search,5.2742296e-05
traffic_sessions_social_media,3.4828365e-05
has_stackable,2.5734907e-05
