feature,mean_abs_shap
total_payment_value,0.3348738
unique_zips,0.09054625
total_discount,0.029429827
unique_customers,0.024680162
rev_cogs_ratio_lag1,0.010781368
order_count,0.009795351
total_quantity,0.009741553
total_payment_value_lag_1d,0.0066771056
total_discount_lag_1d,0.004994641
total_shipping_fee,0.004352606
year_trend,0.0033734876
promo_type_percentage,0.0033291131
revenue_lag_1d,0.0033059458
day_of_year,0.003230342
revenue_rmean_7d,0.0025205938
revenue_rmean_14d,0.0016429026
new_customers_count_lag_1d,0.0015291459
total_shipping_fee_lag_1d,0.001454615
week_of_year,0.0014229388
new_customers_count,0.0010339468
avg_days_of_supply,0.0009761933
total_stock_on_hand,0.0009543191
new_customers_count_lag_7d,0.0009242852
total_quantity_rmean_30d,0.0009193493
cogs_lag_365d,0.00074961345
total_payment_value_rmean_7d,0.0007477634
avg_min_order_value,0.00069915166
month,0.00069053506
trend_sq,0.00064959744
total_sessions,0.00063846796
revenue_exp_mean,0.0006277911
total_sessions_lag_1d,0.0005600123
promo_categories_covered,0.0005441221
total_quantity_lag_1d,0.00048053163
active_promos_count,0.00048049237
total_page_views,0.00047994795
order_count_lag_1d,0.00043998283
total_quantity_rmean_7d,0.0004358591
total_stock_on_hand_lag_7d,0.00043473303
cogs_exp_mean,0.00043254212
cogs_rstd_30d,0.00041920136
order_count_rmean_30d,0.00041621074
total_stock_on_hand_lag_1d,0.00041459038
total_payment_value_lag_7d,0.00041360772
total_payment_value_rmean_30d,0.00041235515
total_unique_visitors_lag_1d,0.0003859076
items_overstock,0.00037505312
revenue_rmean_30d,0.00035804432
month_cos,0.0003505946
total_shipping_fee_lag_7d,0.0002938649
total_unique_visitors,0.00027890402
total_quantity_lag_7d,0.00027832476
day_of_month,0.0002658494
total_page_views_lag_1d,0.00025763767
revenue_lag_7d,0.00025562855
total_page_views_lag_7d,0.00025133975
revenue_lag_14d,0.00024171609
total_unique_visitors_lag_7d,0.00022618486
order_count_lag_7d,0.0002167571
revenue_lag_365d,0.00020780708
avg_sell_through_rate,0.00018220504
order_count_rmean_7d,0.00017897808
total_units_received,0.00017045985
total_sessions_lag_7d,0.00015935095
revenue_lag_2d,0.00015699724
traffic_sessions_organic_search,0.00014986431
cogs_lag_7d,0.00014113853
return_quantity,0.00013269021
month_sin,0.00013052876
revenue_rstd_30d,0.00011921878
cogs_momentum_7_30,0.000118711025
total_reviews_lag_1d,0.00011554703
cogs_lag_1d,0.0001107838
cogs_lag_30d,0.00010918048
total_reviews_lag_7d,0.00010732846
total_units_received_lag_7d,0.00010364076
revenue_dev_from_7d,8.921025e-05
revenue_lag_3d,7.9988626e-05
revenue_momentum_7_30,7.972909e-05
total_reviews,7.020789e-05
cogs_dev_from_30d,6.806318e-05
total_units_received_lag_1d,6.6791035e-05
cogs_rstd_14d,6.4926026e-05
revenue_cv_7d,6.1942774e-05
return_quantity_lag_7d,5.9556478e-05
revenue_dev_from_30d,5.8681733e-05
cogs_lag_2d,5.238089e-05
cogs_diff_1d_30d,5.0933562e-05
cogs_diff_1d_7d,4.7078047e-05
cogs_rstd_7d,4.6545083e-05
cogs_rmean_30d,4.555242e-05
revenue_rstd_7d,4.5005625e-05
dow_x_month,4.3697208e-05
revenue_rstd_14d,3.9854436e-05
refund_amount,3.136583e-05
avg_stockout_days,2.766993e-05
cogs_dev_from_7d,2.3937044e-05
refund_amount_lag_7d,2.308955e-05
has_stackable,1.5737432e-05
traffic_sessions_paid_search,5.7326893e-06
day_of_week,4.44924e-06
traffic_sessions_social_media,2.999616e-06
